Experiment ID,Model,Attempt Number,Error Type,Message
36d5a1d1-e325-4b11-a7e1-d120bc6a27db,meta-llama-3.1-70b-instruct,1,UnknownError,Error: Error: 'Author'
36d5a1d1-e325-4b11-a7e1-d120bc6a27db,meta-llama-3.1-70b-instruct,2,UnknownError,Error: Error: 'Author'
0694f46e-8c2f-4f4a-87db-8d9e5f81cc40,mistral-large-instruct,1,FileNotFoundError,[Errno 2] No such file or directory: 'datasets/instagram-leridash-2025-04-15-tyc7Gjjv\\ads_information\\ads_and_topics\\ads_viewed.json'
0694f46e-8c2f-4f4a-87db-8d9e5f81cc40,mistral-large-instruct,2,FileNotFoundError,[Errno 2] No such file or directory: 'datasets/instagram-leridash-2025-04-15-tyc7Gjjv\\ads_information\\ads_and_topics\\ads_viewed.json'
0694f46e-8c2f-4f4a-87db-8d9e5f81cc40,mistral-large-instruct,3,FileNotFoundError,[Errno 2] No such file or directory: 'datasets/instagram-leridash-2025-04-15-tyc7Gjjv\\ads_information\\ads_and_topics\\ads_viewed.json'
0694f46e-8c2f-4f4a-87db-8d9e5f81cc40,mistral-large-instruct,4,FileNotFoundError,[Errno 2] No such file or directory: 'datasets/instagram-leridash-2025-04-15-tyc7Gjjv\\ads_information\\ads_and_topics\\ads_viewed.json'
0694f46e-8c2f-4f4a-87db-8d9e5f81cc40,mistral-large-instruct,5,FileNotFoundError,[Errno 2] No such file or directory: 'datasets/instagram-leridash-2025-04-15-tyc7Gjjv\\ads_information\\ads_and_topics\\ads_viewed.json'
0694f46e-8c2f-4f4a-87db-8d9e5f81cc40,mistral-large-instruct,6,FileNotFoundError,[Errno 2] No such file or directory: 'datasets/instagram-leridash-2025-04-15-tyc7Gjjv\\ads_information\\ads_and_topics\\ads_viewed.json'
94f32149-b841-49c6-8879-7223fc10a041,mistral-large-instruct,1,FileNotFoundError,[Errno 2] No such file or directory: 'datasets/instagram-miger_shkrepa-2025-01-21-TDz5ZSZM\\ads_information\\ads_and_topics\\ads_viewed.json'
d72b62ed-92ec-47eb-b8b3-9da3e6931192,mistral-large-instruct,1,FileNotFoundError,[Errno 2] No such file or directory: 'datasets/instagram-pbrenner96-2024-01-08-SsGs6mZ4_english\\ads_information\\ads_and_topics\\ads_viewed.json'
d72b62ed-92ec-47eb-b8b3-9da3e6931192,mistral-large-instruct,2,FileNotFoundError,[Errno 2] No such file or directory: 'datasets/instagram-pbrenner96-2024-01-08-SsGs6mZ4_english\\ads_information\\ads_and_topics\\ads_viewed.json'
d72b62ed-92ec-47eb-b8b3-9da3e6931192,mistral-large-instruct,3,FileNotFoundError,The ads_viewed.json file does not exist.
d72b62ed-92ec-47eb-b8b3-9da3e6931192,mistral-large-instruct,4,FileNotFoundError,[Errno 2] No such file or directory: 'datasets/instagram-pbrenner96-2024-01-08-SsGs6mZ4_english\\ads_information\\ads_and_topics\\ads_viewed.json'
d72b62ed-92ec-47eb-b8b3-9da3e6931192,mistral-large-instruct,5,FileNotFoundError,[Errno 2] No such file or directory: 'datasets/instagram-pbrenner96-2024-01-08-SsGs6mZ4_english\\ads_information\\ads_and_topics\\ads_viewed.json'
d72b62ed-92ec-47eb-b8b3-9da3e6931192,mistral-large-instruct,6,FileNotFoundError,[Errno 2] No such file or directory: 'datasets/instagram-pbrenner96-2024-01-08-SsGs6mZ4_english\\ads_information\\ads_and_topics\\ads_viewed.json'
ec3f3056-ae0b-467d-b6d4-7bc3d4f6c121,mistral-large-instruct,1,FileNotFoundError,[Errno 2] No such file or directory: 'datasets/instagram-pbrenner96-2024-06-11-fak0ewfm\\ads_information\\ads_and_topics\\ads_viewed.json'
ec3f3056-ae0b-467d-b6d4-7bc3d4f6c121,mistral-large-instruct,2,FileNotFoundError,[Errno 2] No such file or directory: 'datasets/instagram-pbrenner96-2024-06-11-fak0ewfm\\ads_information\\ads_and_topics\\ads_viewed.json'
ec3f3056-ae0b-467d-b6d4-7bc3d4f6c121,mistral-large-instruct,3,FileNotFoundError,[Errno 2] No such file or directory: 'datasets/instagram-pbrenner96-2024-06-11-fak0ewfm\\ads_information\\ads_and_topics\\ads_viewed.json'
ec3f3056-ae0b-467d-b6d4-7bc3d4f6c121,mistral-large-instruct,4,FileNotFoundError,[Errno 2] No such file or directory: 'datasets/instagram-pbrenner96-2024-06-11-fak0ewfm\\ads_information\\ads_and_topics\\ads_viewed.json'
