Experiment ID,Dataset Name,Model,Question,No Data,Precision,Recall,F1,Correct Rows,Extra Rows,Missing Rows,Number of Retries,Successful Code Exec. Duration,Total Duration
08f5732a-0654-4931-9f31-0515edc443c2,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,False,0.0,0.0,0.0,0,0,20,0,0.35,4.57
8232ec49-570f-4da8-8632-4a04060f20dd,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,False,0.0,0.0,0.0,0,0,20,0,0.29,4.51
f4716bb0-6ebd-418b-a843-88c09f004e3f,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,False,0.0,0.0,0.0,0,0,20,0,0.31,5.31
e2d2d2c0-af69-4386-9f05-2377a680a7ea,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,False,0.0,0.0,0.0,0,0,20,0,0.25,5.3
c9db1b07-1ece-43a4-b6e7-f33fdeb63ed0,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,False,0.0,0.0,0.0,0,0,20,0,0.24,4.48
5ea87b18-1713-4d44-9fb4-b63a4867d282,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,How often does a user see advertisements and about which topics (from which companies)?,False,0.0,0.0,0.0,0,0,19,0,0.27,4.88
932327ad-319a-4812-b3fe-b6e120d8423e,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,How often does a user see advertisements and about which topics (from which companies)?,False,0.0,0.0,0.0,0,0,19,0,0.25,3.75
8c521be9-e1b3-4dd2-91e4-2b32631da75a,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,How often does a user see advertisements and about which topics (from which companies)?,False,0.0,0.0,0.0,0,0,19,0,0.24,3.87
0d1f9748-2e39-4533-92fa-9cbe1907cab5,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,How often does a user see advertisements and about which topics (from which companies)?,False,0.0,0.0,0.0,0,0,19,0,0.23,3.79
29c6992e-9452-4236-b9e2-d07d6d5f674f,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,How often does a user see advertisements and about which topics (from which companies)?,False,0.0,0.0,0.0,0,0,19,0,0.29,4.45
b0b61b8b-e2dd-4245-859f-7ada38e7f903,instagram-leridash-2025-04-15-tyc7Gjjv,meta-llama-3.1-8b-instruct,How often do people see posts(daily and weekly)?,True,,,,0,0,0,6,,87.11
99dead70-414f-4b16-a84d-1b193e720e2c,instagram-miger_shkrepa-2025-04-12-n2sjdWwP,meta-llama-3.1-8b-instruct,How often do people see posts(daily and weekly)?,True,,,,0,0,0,1,0,0
