Experiment ID,Model,Question,syntax_ok,max_cyclomatic_complexity,total_cyclomatic_complexity,maintainability_index,raw_loc,raw_lloc,raw_sloc,raw_comments,raw_multi,raw_blank,raw_single_comments,halstead_h1,halstead_h2,halstead_N1,halstead_N2,halstead_vocabulary,halstead_length,halstead_calculated_length,halstead_volume,halstead_difficulty,halstead_effort,halstead_time,halstead_bugs
eea522df-dd1b-4a68-a1e0-e267cbf635f2,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,11,11,86.61121446242521,37,19,19,11,0,7,11,3,12,7,13,15,20,47.77443751081735,78.13781191217038,1.625,126.97394435727686,7.054108019848715,0.0260459373040567
c98ef175-0283-4e4f-a7e9-d41aef48a675,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,7,7,91.73334408061034,41,20,20,15,0,6,15,2,3,2,3,5,5,6.754887502163469,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456
adbb48ec-a3ff-410c-af8e-f6f646f4c536,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,7,7,91.8860618130766,39,19,19,15,0,5,15,2,3,2,3,5,5,6.754887502163469,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456
2720c125-701e-4a21-b84a-edc622a95c82,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,7,7,91.73334408061034,44,20,20,15,0,9,15,2,3,2,3,5,5,6.754887502163469,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456
2590c6a6-5591-4132-9525-1e151daf5c0b,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,12,12,86.92676904045345,44,23,23,16,0,5,16,2,6,4,7,8,11,17.509775004326936,33.0,1.1666666666666667,38.5,2.138888888888889,0.011
c387c800-7931-4d0f-b4d0-c3b9e1b8be1a,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,7,7,91.73334408061034,44,20,20,15,0,9,15,2,3,2,3,5,5,6.754887502163469,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456
71e2fcde-9062-4358-9c96-614f481cbbf0,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,10,10,86.92829513476146,36,19,19,10,0,7,10,4,12,6,12,16,18,51.01955000865388,72.0,2.0,144.0,8.0,0.024
c7c34d1f-6c73-472c-abec-1ca91b20c4e3,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,7,7,91.73334408061034,44,20,20,15,0,9,15,2,3,2,3,5,5,6.754887502163469,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456
dc6292e8-928e-4c51-90e4-9d184660281b,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,9,9,88.98281233385298,42,22,22,14,0,6,14,3,5,3,5,8,8,16.36452797660028,24.0,1.5,36.0,2.0,0.008
7702b760-dcd4-42bf-9c57-3e37a529641e,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,9,9,89.30817737031607,40,21,21,14,0,5,14,3,5,3,5,8,8,16.36452797660028,24.0,1.5,36.0,2.0,0.008
