Experiment ID,Model,Question,syntax_ok,max_cyclomatic_complexity,total_cyclomatic_complexity,maintainability_index,raw_loc,raw_lloc,raw_sloc,raw_comments,raw_multi,raw_blank,raw_single_comments,halstead_h1,halstead_h2,halstead_N1,halstead_N2,halstead_vocabulary,halstead_length,halstead_calculated_length,halstead_volume,halstead_difficulty,halstead_effort,halstead_time,halstead_bugs
f05a6d25-46b7-45bf-a3e7-adae2e2eb37c,qwen2.5-72b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,11,13,49.6608899400959,66,54,53,0,0,13,0,3,6,4,7,9,11,20.264662506490406,34.86917501586544,1.75,61.02105627776452,3.3900586820980285,0.0116230583386218
5eb07b3b-1ecf-4542-9db3-69a609204f5a,qwen2.5-72b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,14,14,60.19420823597574,53,43,42,2,0,9,2,4,14,12,22,18,34,61.30296890880645,141.7774500490386,3.142857142857143,445.5862715826928,24.754792865705152,0.0472591500163462
e2aadafd-4ff7-4b31-bbcc-0a057fbe1a6c,qwen2.5-72b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,6,14,50.49222282851092,55,51,50,0,0,5,0,3,6,4,6,9,10,20.264662506490406,31.699250014423125,1.5,47.548875021634686,2.6416041678685938,0.0105664166714743
3b15aef4-56b8-4d0c-a9d7-b8748ac9dddf,qwen2.5-72b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,6,9,53.062824052773095,46,40,39,0,0,7,0,3,6,4,6,9,10,20.264662506490406,31.699250014423125,1.5,47.548875021634686,2.6416041678685938,0.0105664166714743
1b960c92-aaae-43d5-86b5-a7b3d02c3604,qwen2.5-72b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,7,9,54.305568538963335,48,42,41,0,0,7,0,2,4,3,4,6,7,10.0,18.09473750504809,1.0,18.09473750504809,1.0052631947248942,0.0060315791683493
91ceb78a-9838-4b7f-88b5-f62df9af9424,qwen2.5-72b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,4,12,51.66952347320749,53,47,46,0,0,7,0,3,6,4,6,9,10,20.264662506490406,31.699250014423125,1.5,47.548875021634686,2.6416041678685938,0.0105664166714743
31afd4d6-bfb9-4ff8-92e9-d11c6779c10a,qwen2.5-72b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,8,11,63.94306289173326,48,41,40,1,0,8,0,2,4,3,4,6,7,10.0,18.09473750504809,1.0,18.09473750504809,1.0052631947248942,0.0060315791683493
17049501-73ce-4202-87cc-6bc6cccc7651,qwen2.5-72b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,7,9,65.29166858488159,44,38,37,1,0,7,0,2,4,3,4,6,7,10.0,18.09473750504809,1.0,18.09473750504809,1.0052631947248942,0.0060315791683493
9c44c30c-88dd-4599-87aa-7cb905cb7946,qwen2.5-72b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,6,19,47.95233550838886,73,63,62,0,0,11,0,3,6,4,6,9,10,20.264662506490406,31.699250014423125,1.5,47.548875021634686,2.6416041678685938,0.0105664166714743
252765e7-7071-49ee-b817-34e54a1488c2,qwen2.5-72b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,5,7,55.65723639195931,43,38,37,0,0,6,0,2,4,3,4,6,7,10.0,18.09473750504809,1.0,18.09473750504809,1.0052631947248942,0.0060315791683493
d3ad9c8c-18a7-4e23-b93e-204ba71bc105,qwen2.5-72b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,10,13,47.3342461699729,62,54,53,0,0,9,0,3,9,8,12,12,20,33.28421251514428,71.69925001442313,2.0,143.39850002884626,7.966583334935903,0.0238997500048077
00921f06-df26-44da-b73a-c87d8536cd2d,qwen2.5-72b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,7,10,62.7219939532443,46,40,39,1,0,7,0,3,6,4,6,9,10,20.264662506490406,31.699250014423125,1.5,47.548875021634686,2.6416041678685938,0.0105664166714743
ae2c96b8-f7f0-4cc6-bc29-1d5ec5a34314,qwen2.5-72b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,7,10,65.33467592574141,51,41,40,2,0,11,0,3,7,5,7,10,12,24.40637195656669,39.86313713864836,1.5,59.79470570797253,3.321928094887363,0.0132877123795494
417ae6bc-8b50-4093-9029-da95aebffe1c,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,8,8,88.11208968676087,44,20,20,15,0,9,15,3,7,4,7,10,11,24.40637195656669,36.541209043760986,1.5,54.81181356564148,3.0451007536467487,0.0121804030145869
be8c77ce-1880-4888-a59b-9d5e8ffceca6,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,10,12,53.54208473797349,50,43,43,0,0,7,0,2,4,3,5,6,8,10.0,20.67970000576925,1.25,25.84962500721156,1.43609027817842,0.0068932333352564
fcb79771-a6b5-4e61-847e-a288d50d52b2,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,7,7,91.36358903243551,40,19,19,16,0,5,16,2,3,2,3,5,5,6.754887502163469,11.60964047443681,1.0,11.60964047443681,0.6449800263576005,0.0038698801581456
c5e7c61e-8b1d-4da3-9f17-fa780dfdc238,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,22,22,77.85893943360406,66,33,33,26,0,7,26,3,15,9,17,18,26,63.35824643629125,108.41805003750012,1.7,184.31068506375016,10.239482503541677,0.0361393500125
3c91f4fb-e9a2-482d-a16b-c4dedf9c7b60,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,10,10,87.94457908985682,43,21,21,15,0,7,15,2,6,4,7,8,11,17.509775004326936,33.0,1.1666666666666667,38.5,2.138888888888889,0.011
