Experiment ID,Model,Attempt Number,Error Type,Message
cf8fe2ec-062b-4f8c-ab4e-4171f16437f9,meta-llama-3.1-8b-instruct,1,FileNotFoundError,[WinError 3] The system cannot find the path specified: 'datasets/instagram-pbrenner96-2024-06-11-fak0ewfm\\reels'
b2af8810-987d-4e5e-a9c9-c4b2a48004df,meta-llama-3.1-8b-instruct,1,NameError,name 'json' is not defined. Did you forget to import 'json'?
b2af8810-987d-4e5e-a9c9-c4b2a48004df,meta-llama-3.1-8b-instruct,2,NameError,name 'json' is not defined. Did you forget to import 'json'?
b2af8810-987d-4e5e-a9c9-c4b2a48004df,meta-llama-3.1-8b-instruct,3,NameError,name 'json' is not defined. Did you forget to import 'json'?
37447881-fab2-464f-becc-25b65d43fd9a,meta-llama-3.1-8b-instruct,1,ValueError,too many values to unpack (expected 2)
528cc48f-eab2-43b5-b636-956e3f20c7c9,meta-llama-3.1-8b-instruct,1,SyntaxError,unmatched '}'
528cc48f-eab2-43b5-b636-956e3f20c7c9,meta-llama-3.1-8b-instruct,2,SyntaxError,unmatched '}'
a1885f04-4959-448a-b7f6-9d0d5bf7b410,meta-llama-3.1-8b-instruct,1,KeyError,'impressions_history_recs_hidden_authors'
85d8f8b0-a126-4548-b02b-c0686c5e3d42,meta-llama-3.1-8b-instruct,1,SyntaxError,(unicode error) 'unicodeescape' codec can't decode bytes in position 2-3: truncated \UXXXXXXXX escape
85d8f8b0-a126-4548-b02b-c0686c5e3d42,meta-llama-3.1-8b-instruct,2,SyntaxError,(unicode error) 'unicodeescape' codec can't decode bytes in position 2-3: truncated \UXXXXXXXX escape
85d8f8b0-a126-4548-b02b-c0686c5e3d42,meta-llama-3.1-8b-instruct,3,FileNotFoundError,[Errno 2] No such file or directory: 'query_responses/results.csv'
e5a3d36c-f371-4382-8edc-af0bbbb5dc6e,meta-llama-3.1-8b-instruct,1,PermissionError,[Errno 13] Permission denied: 'datasets/instagram-NEW3-2024-01-30-OvOU7CoQ_with_new_files'
e5a3d36c-f371-4382-8edc-af0bbbb5dc6e,meta-llama-3.1-8b-instruct,2,PermissionError,[Errno 13] Permission denied: 'datasets/instagram-NEW3-2024-01-30-OvOU7CoQ_with_new_files'
454a1fda-c7ff-4427-ad51-925dfac691f8,meta-llama-3.1-8b-instruct,1,NameError,name 'value' is not defined. Did you mean: 'False'?
454a1fda-c7ff-4427-ad51-925dfac691f8,meta-llama-3.1-8b-instruct,2,NameError,name 'value' is not defined. Did you mean: 'False'?
454a1fda-c7ff-4427-ad51-925dfac691f8,meta-llama-3.1-8b-instruct,3,NameError,name 'value' is not defined. Did you mean: 'False'?
454a1fda-c7ff-4427-ad51-925dfac691f8,meta-llama-3.1-8b-instruct,4,NameError,name 'value' is not defined. Did you mean: 'False'?
454a1fda-c7ff-4427-ad51-925dfac691f8,meta-llama-3.1-8b-instruct,5,NameError,name 'value' is not defined. Did you mean: 'False'?
541a8c1f-6abb-4903-b05c-4e80b417c399,meta-llama-3.1-8b-instruct,1,NameError,name 'json' is not defined. Did you forget to import 'json'?
541a8c1f-6abb-4903-b05c-4e80b417c399,meta-llama-3.1-8b-instruct,2,NameError,name 'json' is not defined. Did you forget to import 'json'?
541a8c1f-6abb-4903-b05c-4e80b417c399,meta-llama-3.1-8b-instruct,3,NameError,name 'json' is not defined. Did you forget to import 'json'?
541a8c1f-6abb-4903-b05c-4e80b417c399,meta-llama-3.1-8b-instruct,4,ValueError,too many values to unpack (expected 2)
541a8c1f-6abb-4903-b05c-4e80b417c399,meta-llama-3.1-8b-instruct,5,NameError,name 'json' is not defined. Did you forget to import 'json'?
541a8c1f-6abb-4903-b05c-4e80b417c399,meta-llama-3.1-8b-instruct,6,ValueError,too many values to unpack (expected 2)
035a7556-e396-42b0-9a4a-41aead4410f1,meta-llama-3.1-8b-instruct,1,FileNotFoundError,[Errno 2] No such file or directory: 'directory_structure_final.txt'
035a7556-e396-42b0-9a4a-41aead4410f1,meta-llama-3.1-8b-instruct,2,FileNotFoundError,[Errno 2] No such file or directory: 'your_instagram_activity.json'
035a7556-e396-42b0-9a4a-41aead4410f1,meta-llama-3.1-8b-instruct,3,FileNotFoundError,[Errno 2] No such file or directory: 'your_instagram_activity.json'
035a7556-e396-42b0-9a4a-41aead4410f1,meta-llama-3.1-8b-instruct,4,FileNotFoundError,[Errno 2] No such file or directory: 'directory_structure_final.txt'
035a7556-e396-42b0-9a4a-41aead4410f1,meta-llama-3.1-8b-instruct,5,FileNotFoundError,[Errno 2] No such file or directory: 'directory_structure_final.txt'
035a7556-e396-42b0-9a4a-41aead4410f1,meta-llama-3.1-8b-instruct,6,FileNotFoundError,[Errno 2] No such file or directory: 'directory_structure_final.txt'
be535715-e9b2-4f86-975e-13556b8375cb,meta-llama-3.1-8b-instruct,1,PermissionError,[Errno 13] Permission denied: 'datasets/instagram-NEW4-2024-02-06-FTQ9jtOp_with_countdown'
be535715-e9b2-4f86-975e-13556b8375cb,meta-llama-3.1-8b-instruct,2,PermissionError,[Errno 13] Permission denied: 'datasets/instagram-NEW4-2024-02-06-FTQ9jtOp_with_countdown'
be535715-e9b2-4f86-975e-13556b8375cb,meta-llama-3.1-8b-instruct,3,PermissionError,[Errno 13] Permission denied: 'datasets/instagram-NEW4-2024-02-06-FTQ9jtOp_with_countdown'
be535715-e9b2-4f86-975e-13556b8375cb,meta-llama-3.1-8b-instruct,4,PermissionError,[Errno 13] Permission denied: 'datasets/instagram-NEW4-2024-02-06-FTQ9jtOp_with_countdown'
aa9d2e9d-7ea6-48bc-91cb-dc423251a4ea,meta-llama-3.1-8b-instruct,1,SyntaxError,invalid syntax
aa9d2e9d-7ea6-48bc-91cb-dc423251a4ea,meta-llama-3.1-8b-instruct,2,SyntaxError,invalid syntax
55d70f4f-c933-488a-8abd-984fa464fc35,meta-llama-3.1-8b-instruct,1,NameError,name 'value' is not defined. Did you mean: 'False'?
3fb8e473-5eda-4bb1-a46c-198af7ef7ba5,meta-llama-3.1-8b-instruct,1,PermissionError,[Errno 13] Permission denied: 'datasets/instagram-miger_shkrepa-2025-01-21-TDz5ZSZM'
3fb8e473-5eda-4bb1-a46c-198af7ef7ba5,meta-llama-3.1-8b-instruct,2,PermissionError,[Errno 13] Permission denied: 'datasets/instagram-miger_shkrepa-2025-01-21-TDz5ZSZM'
3fb8e473-5eda-4bb1-a46c-198af7ef7ba5,meta-llama-3.1-8b-instruct,3,PermissionError,[Errno 13] Permission denied: 'datasets/instagram-miger_shkrepa-2025-01-21-TDz5ZSZM'
3fb8e473-5eda-4bb1-a46c-198af7ef7ba5,meta-llama-3.1-8b-instruct,4,PermissionError,[Errno 13] Permission denied: 'datasets/instagram-miger_shkrepa-2025-01-21-TDz5ZSZM'
3fb8e473-5eda-4bb1-a46c-198af7ef7ba5,meta-llama-3.1-8b-instruct,5,PermissionError,[Errno 13] Permission denied: 'datasets/instagram-miger_shkrepa-2025-01-21-TDz5ZSZM'
3fb8e473-5eda-4bb1-a46c-198af7ef7ba5,meta-llama-3.1-8b-instruct,6,PermissionError,[Errno 13] Permission denied: 'datasets/instagram-miger_shkrepa-2025-01-21-TDz5ZSZM'
6445e9b2-475f-4caa-8edd-4b151df4065d,meta-llama-3.1-8b-instruct,1,PermissionError,[Errno 13] Permission denied: 'datasets/instagram-NEW4-2024-02-06-FTQ9jtOp_with_countdown'
6445e9b2-475f-4caa-8edd-4b151df4065d,meta-llama-3.1-8b-instruct,2,AttributeError,'generator' object has no attribute 'next'
6445e9b2-475f-4caa-8edd-4b151df4065d,meta-llama-3.1-8b-instruct,3,PermissionError,[Errno 13] Permission denied: 'datasets/instagram-NEW4-2024-02-06-FTQ9jtOp_with_countdown'
6445e9b2-475f-4caa-8edd-4b151df4065d,meta-llama-3.1-8b-instruct,4,PermissionError,[Errno 13] Permission denied: 'datasets/instagram-NEW4-2024-02-06-FTQ9jtOp_with_countdown'
6445e9b2-475f-4caa-8edd-4b151df4065d,meta-llama-3.1-8b-instruct,5,AttributeError,'generator' object has no attribute 'next'
6445e9b2-475f-4caa-8edd-4b151df4065d,meta-llama-3.1-8b-instruct,6,PermissionError,[Errno 13] Permission denied: 'datasets/instagram-NEW4-2024-02-06-FTQ9jtOp_with_countdown'
44e1b1de-a469-4468-b2a6-6b07902722fc,meta-llama-3.1-8b-instruct,1,ValueError,No results found.
44e1b1de-a469-4468-b2a6-6b07902722fc,meta-llama-3.1-8b-instruct,2,ValueError,No results found.
d0bb6067-0102-478b-9bf9-a2ebafaeb2f2,meta-llama-3.1-8b-instruct,1,FileNotFoundError,[Errno 2] No such file or directory: 'query_responses/results.csv'
d0bb6067-0102-478b-9bf9-a2ebafaeb2f2,meta-llama-3.1-8b-instruct,2,FileNotFoundError,[Errno 2] No such file or directory: 'query_responses/results.csv'
d0bb6067-0102-478b-9bf9-a2ebafaeb2f2,meta-llama-3.1-8b-instruct,3,FileNotFoundError,[Errno 2] No such file or directory: 'query_responses/results.csv'
d0bb6067-0102-478b-9bf9-a2ebafaeb2f2,meta-llama-3.1-8b-instruct,4,FileNotFoundError,[Errno 2] No such file or directory: 'query_responses/results.csv'
d0bb6067-0102-478b-9bf9-a2ebafaeb2f2,meta-llama-3.1-8b-instruct,5,FileNotFoundError,[Errno 2] No such file or directory: 'query_responses/results.csv'
d0bb6067-0102-478b-9bf9-a2ebafaeb2f2,meta-llama-3.1-8b-instruct,6,FileNotFoundError,[Errno 2] No such file or directory: 'query_responses/results.csv'
06b6807d-31dc-4e7a-bbf4-95c1cf6e6204,meta-llama-3.1-8b-instruct,1,KeyError,'structure'
06b6807d-31dc-4e7a-bbf4-95c1cf6e6204,meta-llama-3.1-8b-instruct,2,KeyError,'structure'
ddc587e1-d535-4e22-b496-677e3d367be5,meta-llama-3.1-8b-instruct,1,FileNotFoundError,Error: The necessary files or directories do not exist in the structure.
dbe5a2a4-d606-4d4a-81c4-8b442b12e82d,meta-llama-3.1-8b-instruct,1,KeyError,'value'
7fd38855-359e-43a9-8866-b1c33004c198,meta-llama-3.1-8b-instruct,1,ModuleNotFoundError,No module named 'pandas'
b0b7fc92-dd05-4035-b734-a0605900dd60,meta-llama-3.1-8b-instruct,1,NameError,name 'value' is not defined. Did you mean: 'False'?
b0b7fc92-dd05-4035-b734-a0605900dd60,meta-llama-3.1-8b-instruct,2,NameError,name 'value' is not defined. Did you mean: 'False'?
b0b7fc92-dd05-4035-b734-a0605900dd60,meta-llama-3.1-8b-instruct,3,NameError,name 'value' is not defined. Did you mean: 'False'?
b0b7fc92-dd05-4035-b734-a0605900dd60,meta-llama-3.1-8b-instruct,4,NameError,name 'json' is not defined. Did you forget to import 'json'?
b0b7fc92-dd05-4035-b734-a0605900dd60,meta-llama-3.1-8b-instruct,5,NameError,name 'json' is not defined. Did you forget to import 'json'?
b0b7fc92-dd05-4035-b734-a0605900dd60,meta-llama-3.1-8b-instruct,6,NameError,name 'value' is not defined. Did you mean: 'False'?
c1855628-0135-4056-b114-3e9f482337f1,meta-llama-3.1-8b-instruct,1,FileNotFoundError,[Errno 2] No such file or directory: 'datasets/instagram-miger_shkrepa-2025-04-12-n2sjdWwP\\ads_viewed.json'
970d7e20-7f62-414d-a75b-540eba0f0877,meta-llama-3.1-8b-instruct,1,SyntaxError,closing parenthesis ']' does not match opening parenthesis '('
970d7e20-7f62-414d-a75b-540eba0f0877,meta-llama-3.1-8b-instruct,2,SyntaxError,closing parenthesis ']' does not match opening parenthesis '('
970d7e20-7f62-414d-a75b-540eba0f0877,meta-llama-3.1-8b-instruct,3,SyntaxError,closing parenthesis ']' does not match opening parenthesis '('
970d7e20-7f62-414d-a75b-540eba0f0877,meta-llama-3.1-8b-instruct,4,SyntaxError,closing parenthesis ']' does not match opening parenthesis '('
970d7e20-7f62-414d-a75b-540eba0f0877,meta-llama-3.1-8b-instruct,5,SyntaxError,closing parenthesis ']' does not match opening parenthesis '('
4213532e-ba22-41df-b4b1-51614e94c144,meta-llama-3.1-8b-instruct,1,NameError,name 'json' is not defined. Did you forget to import 'json'?
4213532e-ba22-41df-b4b1-51614e94c144,meta-llama-3.1-8b-instruct,2,NameError,name 'json' is not defined. Did you forget to import 'json'?
4213532e-ba22-41df-b4b1-51614e94c144,meta-llama-3.1-8b-instruct,3,FileNotFoundError,[WinError 3] The system cannot find the path specified: 'datasets/instagram-NEW5-2024-02-06-Ls7f9ZkQ_with_recently_deleted_content\\ads_and_topics'
4213532e-ba22-41df-b4b1-51614e94c144,meta-llama-3.1-8b-instruct,4,NameError,name 'json' is not defined. Did you forget to import 'json'?
4213532e-ba22-41df-b4b1-51614e94c144,meta-llama-3.1-8b-instruct,5,FileNotFoundError,[WinError 3] The system cannot find the path specified: 'datasets/instagram-NEW5-2024-02-06-Ls7f9ZkQ_with_recently_deleted_content\\ads_and_topics'
4213532e-ba22-41df-b4b1-51614e94c144,meta-llama-3.1-8b-instruct,6,NameError,name 'json' is not defined. Did you forget to import 'json'?
d04da299-e85c-4c8a-95d7-99b1716f59c5,meta-llama-3.1-8b-instruct,1,TypeError,unsupported operand type(s) for //: 'NoneType' and 'int'
d04da299-e85c-4c8a-95d7-99b1716f59c5,meta-llama-3.1-8b-instruct,2,TypeError,unsupported operand type(s) for //: 'NoneType' and 'int'
ecdc88b9-4f20-4160-affa-cee4573884f3,meta-llama-3.1-8b-instruct,1,ValueError,No results found.
ecdc88b9-4f20-4160-affa-cee4573884f3,meta-llama-3.1-8b-instruct,2,ValueError,No results found.
758115b9-7a5c-402e-b674-acd8958bcd7a,mistral-large-instruct,1,FileNotFoundError,Error: The recommended_topics.json file does not exist.
758115b9-7a5c-402e-b674-acd8958bcd7a,mistral-large-instruct,2,FileNotFoundError,Error: The recommended_topics.json file does not exist.
758115b9-7a5c-402e-b674-acd8958bcd7a,mistral-large-instruct,3,FileNotFoundError,Error: The recommended_topics.json file does not exist.
758115b9-7a5c-402e-b674-acd8958bcd7a,mistral-large-instruct,4,FileNotFoundError,Error: The recommended_topics.json file does not exist.
758115b9-7a5c-402e-b674-acd8958bcd7a,mistral-large-instruct,5,FileNotFoundError,Error: The recommended_topics.json file does not exist.
758115b9-7a5c-402e-b674-acd8958bcd7a,mistral-large-instruct,6,FileNotFoundError,Error: The recommended_topics.json file does not exist.
7c16ebfb-1e2b-4950-bd50-936538079e48,mistral-large-instruct,1,FileNotFoundError,The profile_photos.json file does not exist.
7c16ebfb-1e2b-4950-bd50-936538079e48,mistral-large-instruct,2,FileNotFoundError,The profile_photos.json file does not exist.
706b5a8e-83d7-49a7-af82-47ebedb17db6,mistral-large-instruct,1,FileNotFoundError,The reels.json file does not exist.
706b5a8e-83d7-49a7-af82-47ebedb17db6,mistral-large-instruct,2,FileNotFoundError,The reels.json file does not exist.
706b5a8e-83d7-49a7-af82-47ebedb17db6,mistral-large-instruct,3,FileNotFoundError,The reels.json file does not exist.
706b5a8e-83d7-49a7-af82-47ebedb17db6,mistral-large-instruct,4,FileNotFoundError,The reels.json file does not exist.
706b5a8e-83d7-49a7-af82-47ebedb17db6,mistral-large-instruct,5,FileNotFoundError,The reels.json file does not exist.
706b5a8e-83d7-49a7-af82-47ebedb17db6,mistral-large-instruct,6,FileNotFoundError,The reels.json file does not exist.
bc1dbc33-7d2c-4bb1-95b4-93bd42b3be1e,mistral-large-instruct,1,FileNotFoundError,The reels.json file does not exist.
bc1dbc33-7d2c-4bb1-95b4-93bd42b3be1e,mistral-large-instruct,2,FileNotFoundError,The reels.json file does not exist.
bc1dbc33-7d2c-4bb1-95b4-93bd42b3be1e,mistral-large-instruct,3,FileNotFoundError,The reels.json file does not exist.
bc1dbc33-7d2c-4bb1-95b4-93bd42b3be1e,mistral-large-instruct,4,FileNotFoundError,The reels.json file does not exist.
bc1dbc33-7d2c-4bb1-95b4-93bd42b3be1e,mistral-large-instruct,5,FileNotFoundError,The reels.json file does not exist.
bc1dbc33-7d2c-4bb1-95b4-93bd42b3be1e,mistral-large-instruct,6,FileNotFoundError,The reels.json file does not exist.
cf3b1479-acfc-4852-84df-a20f97213ba2,qwen2.5-coder-32b-instruct,1,FileNotFoundError,The file datasets/instagram-NEW3-2024-01-30-OvOU7CoQ_with_new_files\messages\message_1.json does not exist.
cf3b1479-acfc-4852-84df-a20f97213ba2,qwen2.5-coder-32b-instruct,2,FileNotFoundError,The file datasets/instagram-NEW3-2024-01-30-OvOU7CoQ_with_new_files\messages\message_1.json does not exist.
cf3b1479-acfc-4852-84df-a20f97213ba2,qwen2.5-coder-32b-instruct,3,FileNotFoundError,The file datasets/instagram-NEW3-2024-01-30-OvOU7CoQ_with_new_files\messages\message_1.json does not exist.
cf3b1479-acfc-4852-84df-a20f97213ba2,qwen2.5-coder-32b-instruct,4,FileNotFoundError,The file datasets/instagram-NEW3-2024-01-30-OvOU7CoQ_with_new_files\messages\message_1.json does not exist.
cf3b1479-acfc-4852-84df-a20f97213ba2,qwen2.5-coder-32b-instruct,5,FileNotFoundError,The file datasets/instagram-NEW3-2024-01-30-OvOU7CoQ_with_new_files\messages\message_1.json does not exist.
cf3b1479-acfc-4852-84df-a20f97213ba2,qwen2.5-coder-32b-instruct,6,FileNotFoundError,The file datasets/instagram-NEW3-2024-01-30-OvOU7CoQ_with_new_files\messages\message_1.json does not exist.
fd754d47-af49-40d4-9464-3dd8680b5052,qwen2.5-coder-32b-instruct,1,FileNotFoundError,The reels.json file does not exist.
fd754d47-af49-40d4-9464-3dd8680b5052,qwen2.5-coder-32b-instruct,2,FileNotFoundError,The reels.json file does not exist.
fd754d47-af49-40d4-9464-3dd8680b5052,qwen2.5-coder-32b-instruct,3,FileNotFoundError,The reels.json file does not exist.
fd754d47-af49-40d4-9464-3dd8680b5052,qwen2.5-coder-32b-instruct,4,FileNotFoundError,The reels.json file does not exist.
fd754d47-af49-40d4-9464-3dd8680b5052,qwen2.5-coder-32b-instruct,5,FileNotFoundError,The reels.json file does not exist.
fd754d47-af49-40d4-9464-3dd8680b5052,qwen2.5-coder-32b-instruct,6,FileNotFoundError,The reels.json file does not exist.
e4b84e81-bcfb-421e-be55-884ea1d55cca,qwen2.5-coder-32b-instruct,1,IndentationError,expected an indented block after 'else' statement on line 54
e4b84e81-bcfb-421e-be55-884ea1d55cca,qwen2.5-coder-32b-instruct,2,IndentationError,expected an indented block after 'else' statement on line 54
e4b84e81-bcfb-421e-be55-884ea1d55cca,qwen2.5-coder-32b-instruct,3,IndentationError,expected an indented block after 'else' statement on line 54
f8e52829-3235-41bc-9f45-091551e038a5,qwen2.5-coder-32b-instruct,1,IndexError,list index out of range
f8e52829-3235-41bc-9f45-091551e038a5,qwen2.5-coder-32b-instruct,2,IndexError,list index out of range
f8e52829-3235-41bc-9f45-091551e038a5,qwen2.5-coder-32b-instruct,3,IndexError,list index out of range
f8e52829-3235-41bc-9f45-091551e038a5,qwen2.5-coder-32b-instruct,4,IndexError,list index out of range
f8e52829-3235-41bc-9f45-091551e038a5,qwen2.5-coder-32b-instruct,5,IndexError,list index out of range
f8e52829-3235-41bc-9f45-091551e038a5,qwen2.5-coder-32b-instruct,6,IndexError,list index out of range
6ff3df28-e071-4383-9c99-41778f1bd9b9,qwen2.5-coder-32b-instruct,1,FileNotFoundError,The shopping directory does not exist.
6ff3df28-e071-4383-9c99-41778f1bd9b9,qwen2.5-coder-32b-instruct,2,FileNotFoundError,The shopping directory does not exist.
6ff3df28-e071-4383-9c99-41778f1bd9b9,qwen2.5-coder-32b-instruct,3,FileNotFoundError,The shopping directory does not exist.
6ff3df28-e071-4383-9c99-41778f1bd9b9,qwen2.5-coder-32b-instruct,4,FileNotFoundError,The shopping directory does not exist.
6ff3df28-e071-4383-9c99-41778f1bd9b9,qwen2.5-coder-32b-instruct,5,FileNotFoundError,The shopping directory does not exist.
6ff3df28-e071-4383-9c99-41778f1bd9b9,qwen2.5-coder-32b-instruct,6,FileNotFoundError,The shopping directory does not exist.
7e473b6e-4cbd-4557-a144-a3e556353f14,qwen2.5-coder-32b-instruct,1,FileNotFoundError,The file does not exist.
7e473b6e-4cbd-4557-a144-a3e556353f14,qwen2.5-coder-32b-instruct,2,FileNotFoundError,The file does not exist.
7e473b6e-4cbd-4557-a144-a3e556353f14,qwen2.5-coder-32b-instruct,3,FileNotFoundError,The file does not exist.
7e473b6e-4cbd-4557-a144-a3e556353f14,qwen2.5-coder-32b-instruct,4,FileNotFoundError,The file does not exist.
7e473b6e-4cbd-4557-a144-a3e556353f14,qwen2.5-coder-32b-instruct,5,FileNotFoundError,The file does not exist.
7e473b6e-4cbd-4557-a144-a3e556353f14,qwen2.5-coder-32b-instruct,6,FileNotFoundError,The file does not exist.
bb7cd461-9022-43e8-9a08-98590ca19461,qwen2.5-coder-32b-instruct,1,FileNotFoundError,The posts_1.json file does not exist.
bb7cd461-9022-43e8-9a08-98590ca19461,qwen2.5-coder-32b-instruct,2,FileNotFoundError,The posts_1.json file does not exist.
bb7cd461-9022-43e8-9a08-98590ca19461,qwen2.5-coder-32b-instruct,3,FileNotFoundError,The posts_1.json file does not exist.
bb7cd461-9022-43e8-9a08-98590ca19461,qwen2.5-coder-32b-instruct,4,FileNotFoundError,The posts_1.json file does not exist.
bb7cd461-9022-43e8-9a08-98590ca19461,qwen2.5-coder-32b-instruct,5,FileNotFoundError,The posts_1.json file does not exist.
bb7cd461-9022-43e8-9a08-98590ca19461,qwen2.5-coder-32b-instruct,6,FileNotFoundError,The posts_1.json file does not exist.
