Experiment ID,Dataset Name,Model,Question,No Data,Precision,Recall,F1,Correct Rows,Extra Rows,Missing Rows,Number of Retries,Successful Code Exec. Duration,Total Duration
f05a6d25-46b7-45bf-a3e7-adae2e2eb37c,86b59acea929,qwen2.5-72b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,1.0,1.0,1.0,0.0,0.0,0.0,0,0.13,19.51
5eb07b3b-1ecf-4542-9db3-69a609204f5a,b70bc07b63be,qwen2.5-72b-instruct,How often does a user see advertisements and about which topics (from which companies)?,True,1.0,1.0,1.0,0.0,0.0,0.0,0,0.09,16.16
e2aadafd-4ff7-4b31-bbcc-0a057fbe1a6c,efc2df336587,qwen2.5-72b-instruct,How often does a user see advertisements and about which topics (from which companies)?,False,1.0,1.0,1.0,16.0,0.0,0.0,0,0.06,16.94
3b15aef4-56b8-4d0c-a9d7-b8748ac9dddf,3ccff49e121d,qwen2.5-72b-instruct,How often does a user see advertisements and about which topics (from which companies)?,False,1.0,1.0,1.0,17.0,0.0,0.0,0,0.07,13.56
1b960c92-aaae-43d5-86b5-a7b3d02c3604,ab368ab82b0f,qwen2.5-72b-instruct,How often does a user see advertisements and about which topics (from which companies)?,False,1.0,1.0,1.0,19.0,0.0,0.0,0,0.07,14.46
91ceb78a-9838-4b7f-88b5-f62df9af9424,ea89d62a1f88,qwen2.5-72b-instruct,How often does a user see advertisements and about which topics (from which companies)?,False,1.0,1.0,1.0,14.0,0.0,0.0,0,0.07,16.59
31afd4d6-bfb9-4ff8-92e9-d11c6779c10a,a352e9bb575a,qwen2.5-72b-instruct,How often does a user see advertisements and about which topics (from which companies)?,False,0.0,0.0,0.0,0.0,0.0,14.0,0,0.07,27.73
17049501-73ce-4202-87cc-6bc6cccc7651,1ccacb482d0e,qwen2.5-72b-instruct,How often does a user see advertisements and about which topics (from which companies)?,False,1.0,1.0,1.0,1.0,0.0,0.0,0,0.07,14.61
9c44c30c-88dd-4599-87aa-7cb905cb7946,fd23adcc813f,qwen2.5-72b-instruct,How often does a user see advertisements and about which topics (from which companies)?,False,0.0,0.0,0.0,0.0,4.0,0.0,0,0.07,37.95
252765e7-7071-49ee-b817-34e54a1488c2,19e1254c13f5,qwen2.5-72b-instruct,How often does a user see advertisements and about which topics (from which companies)?,False,1.0,1.0,1.0,3.0,0.0,0.0,0,0.07,52.91
d3ad9c8c-18a7-4e23-b93e-204ba71bc105,ec2df5440d1e,qwen2.5-72b-instruct,How often does a user see advertisements and about which topics (from which companies)?,False,0.0,0.0,0.0,0.0,16.0,0.0,0,0.07,18.15
00921f06-df26-44da-b73a-c87d8536cd2d,be30c03571e6,qwen2.5-72b-instruct,How often does a user see advertisements and about which topics (from which companies)?,False,0.0,0.0,0.0,0.0,2.0,0.0,0,0.07,13.48
ae2c96b8-f7f0-4cc6-bc29-1d5ec5a34314,9dd5c6ef7491,qwen2.5-72b-instruct,How often does a user see advertisements and about which topics (from which companies)?,False,1.0,1.0,1.0,4.0,0.0,0.0,0,0.07,13.97
417ae6bc-8b50-4093-9029-da95aebffe1c,86b59acea929,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,1.0,1.0,1.0,0.0,0.0,0.0,0,0.06,4.35
be8c77ce-1880-4888-a59b-9d5e8ffceca6,b70bc07b63be,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,True,1.0,1.0,1.0,0.0,0.0,0.0,0,0.06,5.34
fcb79771-a6b5-4e61-847e-a288d50d52b2,efc2df336587,meta-llama-3.1-8b-instruct,What topics does Instagram determine to be of interest for a user?,False,0.0,0.0,0.0,0.0,0.0,32.0,0,0.07,16.7
